DATUM;Situation;Beschreibung;Sozialform;Beobachtung ID;Skala;Kategorie;TM;X
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;LERNORT_3;4;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;LERNZEIT_1;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;LERNZEIT_2;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;METHODEN;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;MOTIVIERUNG;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;PARTIZIPATION;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;PROZESS;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;SELBSTSTÄNDIGKEIT;3;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;SELBSTWIRKSAMKEIT;2;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;SICHERUNG;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;STRUKTUR_1;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;STRUKTUR_2;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;VERANSCHAULICHUNG;2;3
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;VERBINDEND;5;5
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;VORWISSEN;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;WIRKLICHKEIT;3;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;ZIEL;3;3
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.0;5;ÜBEN;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;DIFFERENZIERUNG_1;5;5
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;DIFFERENZIERUNG_2;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;DRAUßEN;4;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;ERFAHRUNG;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;GANZHEITLICH;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;HANDLUNG;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KLIMA_1;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KLIMA_2;1;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KLIMA_3;5;5
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KLIMA_4;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KLIMA_5;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KOMMUNIKATION_1;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KOMMUNIKATION_2;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KOMMUNIKATION_3;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KOMPETENZ_1;4;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KOMPETENZ_2;3;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;KOOPERATIV;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;LEISTUNG;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;LERNERO.;5;5
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;LERNORT_1;1;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;LERNORT_2;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;LERNORT_3;4;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;LERNZEIT_1;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;LERNZEIT_2;1;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;METHODEN;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;MOTIVIERUNG;1;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;PARTIZIPATION;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;PROZESS;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;SELBSTSTÄNDIGKEIT;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;SELBSTWIRKSAMKEIT;2;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;SICHERUNG;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;STRUKTUR_1;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;STRUKTUR_2;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;VERANSCHAULICHUNG;1;1
